date,open,high,low,close,volume,Dividends,Stock Splits
2015/2/9,4209.810059,4235.240234,4206.759766,4216.089844,1654680000,0,0
2015/2/10,4240.040039,4286.430176,4232.990234,4281.160156,1773730000,0,0
2015/2/11,4284.759766,4305.350098,4277.649902,4297.279785,1793630000,0,0
2015/2/12,4321.410156,4347.970215,4317.97998,4347.970215,2075470000,0,0
2015/2/13,4359.779785,4384.029785,4351.02002,4384.029785,1942240000,0,0
2015/2/17,4379.319824,4387.319824,4370.629883,4385.339844,1751490000,0,0
2015/2/18,4378.72998,4393.189941,4374.22998,4390.910156,1684800000,0,0
2015/2/19,4388.919922,4415.790039,4388.439941,4411.859863,1592890000,0,0
2015/2/20,4406.75,4444.620117,4397.620117,4443.049805,1761140000,0,0
2015/2/23,4441.259766,4449.490234,4430.870117,4449.490234,1754850000,0,0
2015/2/24,4442.129883,4455.52002,4428.819824,4451.029785,1834890000,0,0
2015/2/25,4441.080078,4461.109863,4429.899902,4440.589844,1848560000,0,0
2015/2/26,4443.549805,4463.810059,4430.790039,4462.27002,1905550000,0,0
2015/2/27,4459.859863,4464.310059,4435.660156,4440.669922,1955590000,0,0
2015/3/2,4452.799805,4483.970215,4450.859863,4483.049805,1931110000,0,0
2015/3/3,4466.529785,4473.640137,4433.509766,4458.779785,2018900000,0,0
2015/3/4,4442.410156,4452.370117,4421,4445.359863,1824830000,0,0
2015/3/5,4454.890137,4464.47998,4433.939941,4452.060059,1724200000,0,0
2015/3/6,4442.189941,4453.930176,4389.819824,4399.22998,1918220000,0,0
2015/3/9,4406.870117,4424.220215,4391.620117,4412.990234,1696510000,0,0
2015/3/10,4376.029785,4381.620117,4329.080078,4329.080078,1876010000,0,0
2015/3/11,4336.049805,4342.870117,4304.279785,4305.379883,1846020000,0,0
2015/3/12,4302.72998,4339.200195,4300.870117,4336.22998,1855110000,0,0
2015/3/13,4328.089844,4347.870117,4289.299805,4314.899902,1851410000,0,0
2015/3/16,4338.290039,4371.459961,4327.27002,4370.470215,1713480000,0,0
